timestamp,litert_commit,platform,os_version,device_model,device_extra,build_mode,iterations,warmup,model_name,model_bytes,engine,mode,accelerators,precision,buffer_mode,async,status,compile_ms,p50_ms,p90_ms,std_ms,parity_maxdiff
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,mobilefacenet,5233552,interpreter,cpu,cpu,-,-,false,ok,0.342,7.0,7.0,0.2712931993250107,0.0
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,mobilefacenet,5233552,interpreter,xnn,xnn,-,-,false,ok,1.576,3.0,3.0,0.0,9.238719940185547e-7
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,mobilefacenet,5233552,interpreter,gpu_metal,gpu_metal,-,-,false,ok,173.113,1.0,1.0,0.0,0.004169732332229614
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,mobilefacenet,5233552,interpreter,gpu_glcl,gpu_glcl,-,-,false,unsupported,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,mobilefacenet,5233552,interpreter,coreml,coreml,-,-,false,ok,715.924,20.0,20.0,0.19595917942265423,0.0012084394693374634
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,mobilefacenet,5233552,compiledmodel,cm_cpu,cpu,fp32,managed,false,ok,9.061,2.0,2.0,0.0,8.493661880493164e-7
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,mobilefacenet,5233552,compiledmodel,cm_gpu16,gpu,fp16,managed,false,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,mobilefacenet,5233552,compiledmodel,cm_gpu32,gpu,fp32,managed,false,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,mobilefacenet,5233552,compiledmodel,cm_gpuA,gpu,fp16,managed,true,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,mobilefacenet,5233552,compiledmodel,cm_g+c,cpu+gpu,fp32,managed,false,ok,11.846,1.0,1.0,0.0,5.21540641784668e-7
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,mobilefacenet,5233552,compiledmodel,cm_hmA,gpu,fp16,hostMemory,true,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,species_classifier_float16,6314836,interpreter,cpu,cpu,-,-,false,ok,0.363,2.0,2.0,0.0,0.0
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,species_classifier_float16,6314836,interpreter,xnn,xnn,-,-,false,ok,2.198,1.0,1.0,0.19595917942265428,0.00013494491577148438
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,species_classifier_float16,6314836,interpreter,gpu_metal,gpu_metal,-,-,false,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,species_classifier_float16,6314836,interpreter,gpu_glcl,gpu_glcl,-,-,false,unsupported,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,species_classifier_float16,6314836,interpreter,coreml,coreml,-,-,false,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,species_classifier_float16,6314836,compiledmodel,cm_cpu,cpu,fp32,managed,false,ok,3.065,1.0,1.0,0.0,0.0001354217529296875
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,species_classifier_float16,6314836,compiledmodel,cm_gpu16,gpu,fp16,managed,false,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,species_classifier_float16,6314836,compiledmodel,cm_gpu32,gpu,fp32,managed,false,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,species_classifier_float16,6314836,compiledmodel,cm_gpuA,gpu,fp16,managed,true,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,species_classifier_float16,6314836,compiledmodel,cm_g+c,cpu+gpu,fp32,managed,false,ok,4.796,1.0,2.0,0.36660605559646714,10.08313500881195
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,species_classifier_float16,6314836,compiledmodel,cm_hmA,gpu,fp16,hostMemory,true,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,superanimal_rtmpose_s_float16,12205992,interpreter,cpu,cpu,-,-,false,ok,0.463,12.0,12.0,0.0,0.0
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,superanimal_rtmpose_s_float16,12205992,interpreter,xnn,xnn,-,-,false,ok,10.917,8.0,8.0,0.0,0.0000056549906730651855
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,superanimal_rtmpose_s_float16,12205992,interpreter,gpu_metal,gpu_metal,-,-,false,ok,187.261,13.0,14.0,0.7310266752998826,0.25890839099884033
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,superanimal_rtmpose_s_float16,12205992,interpreter,gpu_glcl,gpu_glcl,-,-,false,unsupported,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,superanimal_rtmpose_s_float16,12205992,interpreter,coreml,coreml,-,-,false,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,superanimal_rtmpose_s_float16,12205992,compiledmodel,cm_cpu,cpu,fp32,managed,false,ok,12.571,5.0,5.0,0.0,0.0000066086649894714355
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,superanimal_rtmpose_s_float16,12205992,compiledmodel,cm_gpu16,gpu,fp16,managed,false,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,superanimal_rtmpose_s_float16,12205992,compiledmodel,cm_gpu32,gpu,fp32,managed,false,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,superanimal_rtmpose_s_float16,12205992,compiledmodel,cm_gpuA,gpu,fp16,managed,true,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,superanimal_rtmpose_s_float16,12205992,compiledmodel,cm_g+c,cpu+gpu,fp32,managed,false,ok,19.287,13.0,13.0,0.27129319932501067,0.2381015606224537
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,superanimal_rtmpose_s_float16,12205992,compiledmodel,cm_hmA,gpu,fp16,hostMemory,true,err,,,,,
2026-06-13T13:20:56.077413Z,62441df,macos,Version 26.4 (Build 25E246),"Mac16,5",arm64 macOS Version 26.4 (Build 25E246),profile,25,8,yolov8n_float32,12865523,interpreter,cpu,cpu,-,-,false,ok,0.593,42.0,42.0,0.2712931993250107,0.0
